municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Petrolina,407,85,Colisão Frontal,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Ceu Claro,2,5,1,2,0,2,2,0
Petrolina,407,88.3,Colisão Frontal,Não Guardar Distância De Segurança,Reta,Simples,Plena Noite,Ceu Claro,3,5,1,2,2,0,2,0
Petrolina,407,117.5,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,3,4,0,1,0,1,2,1
Petrolina,407,121.9,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Nublado,2,3,1,0,0,0,2,0
Petrolina,407,437,Colisão Traseira,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,3,0,0,0,0,2,1
Petrolina,407,1224,Colisão Lateral,Falta De Atenção À Condução,Reta,Simples,Pleno Dia,Sol,2,3,1,0,0,0,2,0
Petrolina,428,140.6,Colisão Frontal,Ingestão De Álcool,Curva,Simples,Plena Noite,Ceu Claro,2,5,1,2,2,0,2,0
Petrolina,428,142,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,0,0,0,2,1
Petrolina,428,144.9,Saída De Pista,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,1,5,0,3,3,0,2,0
Petrolina,428,155.2,Saída De Pista,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,1,2,0,0,0,0,2,0
Petrolina,428,173,Atropelamento De Pessoa,Falta De Atenção,Reta,Simples,Plena Noite,Nublado,1,15,11,2,2,0,2,0
Petrolina,428,176,Capotamento,Outras,Reta,Simples,Plena Noite,Chuva,1,5,0,3,2,1,2,0
Petrolina,428,176.4,Colisão Lateral,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,3,0,0,0,0,2,1
Petrolina,428,180.8,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,8,0,5,0,5,2,1
Petrolina,428,183.5,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,2,4,0,1,1,0,2,1
Petrolina,428,184.5,Colisão Transversal,Desobediência À Sinalização,Cruzamento,Simples,Pleno Dia,Sol,2,3,0,0,0,0,2,1
Petrolina,428,185,Saída De Pista,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,1,3,0,1,0,1,2,0
Petropolis,40,58,Saída De Leito Carroçável,Velocidade Incompatível,Retorno Regulamentado,Duplicada,Plena Noite,Céu Claro,1,2,0,0,0,0,2,0
Petropolis,40,66.5,Saída De Pista,Outras,Curva,Duplicada,Pleno Dia,Ceu Claro,1,3,0,1,1,0,2,0
Petropolis,40,70,Colisão Com Objeto Fixo,Outras,Reta,Duplicada,Pleno Dia,Sol,1,2,0,0,0,0,2,0
Petropolis,40,71,Atropelamento De Pessoa,Outras,Curva,Duplicada,Plena Noite,Nublado,1,3,1,0,0,0,2,0
Petropolis,40,74,Colisão Traseira,Velocidade Incompatível,Reta,Simples,Amanhecer,Ceu Claro,2,4,1,1,0,1,2,0
